Employee Id,Probation End Date,Ticket Entitlement Date,Dept Code,Job Title
603255,20240130,20250803,7,Cleaner
603257,20240130,20250803,7,Cleaner
603258,20240130,20250803,7,Cleaner
603271,20240210,20250814,4,Officer Boy
603266,20240209,,7,Quantity Sueveyor
603270,20240212,20250816,7,Cleaner
603275,20240212,20250816,4,Office Boy
603276,20240212,20250816,4,Office Boy
603278,20240212,20250816,7,Cleaner
603279,20240212,20250816,7,Cleaner
603286,20240216,20250820,7,Cleaner
603287,20240216,20250820,7,Cleaner
603274,20240216,,7,Estimation Engineer
603284,20240217,20250821,7,Multi Technician
603309,20240218,20250822,7,Cleaner
603310,20240218,20250822,7,Cleaner
603312,20240218,20250822,7,Cleaner
603313,20240218,20250822,7,Cleaner
603290,20240220,20250824,7,Cleaner
603291,20240220,20250824,7,Cleaner
603292,20240220,20250824,7,Cleaner
603293,20240220,20250824,7,Cleaner
603294,20240220,20250824,7,Cleaner
603295,20240220,20250824,7,Cleaner
603296,20240220,20250824,7,Cleaner
603297,20240220,20250824,7,Cleaner
603298,20240220,20250824,7,Cleaner
603299,20240220,20250824,7,Cleaner
603300,20240220,20250824,7,Cleaner
603301,20240220,20250824,7,Cleaner
603302,20240220,20250824,7,Cleaner
603304,20240220,20250824,7,Cleaner
603305,20240220,20250824,7,Cleaner
603306,20240220,20250824,7,Cleaner
603307,20240220,20250824,7,Cleaner
603308,20240220,20250824,7,Cleaner
603311,20240220,20250824,7,Cleaner
603314,20240220,20250824,7,Cleaner
603316,20240220,20250824,7,Cleaner
603317,20240220,20250824,7,Cleaner
603321,20240220,,7,Facilitie/Kitch Engi
603322,20240220,20250824,7,Team Leader
603325,20240220,20250824,7,Cleaner
603326,20240220,20250824,7,Cleaner
603328,20240225,20250829,7,AC Technician
603329,20240225,20250829,7,Cleaner
603330,20240225,20250829,7,Cleaner
603341,20240305,20250907,7,Cleaner
603342,20240305,20250907,7,Cleaner
603343,20240305,20250907,7,Cleaner
603344,20240310,20250912,7,Cleaner
603335,20240227,20250831,4,Driver
603336,20240227,20250831,4,Driver
603337,20240227,20250831,7,Cleaner
603340,20240303,20250905,4,Carpenter
603352,20240315,20250917,4,Office Boy
603353,20240315,,4,Project Engineer
603360,20240318,20250920,7,Team Leader
603361,20240322,,12,Senior System Administrator
603356,20240325,20250927,7,Cleaner
603357,20240325,20250927,7,Cleaner
603358,20240325,20250927,7,Cleaner
603370,20240329,,7,Customer Service Rep
603375,20240330,20251002,4,Carpenter
603373,20240330,20251002,4,Carpenter
603372,20240331,20251003,7,Multi Technician
603380,20240402,20251005,7,Team Leader
603379,20240402,20251005,7,Specialized Team Leader
603382,20240415,20251018,7,Cleaner
603383,20240407,20251010,4,Chargehand
603359,20240309,,4,Gym Instructor
603385,20240412,,4,Project Engineer
603387,20240412,,4,Gym Instructor
603365,20240423,20251026,7,Cleaner
